request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"f9be599d-068d-4b0b-8568-d5a87f753268",GET,/,"debug=true&locale=en",,302,,,,50168554534000,50168603702500,50168610326300
"11cfc1b7-b493-4928-bab3-6f979c24f124",GET,/any/system/welcome,,,200,text/html;charset=utf-8,,,50168639369200,50168641593600,50175986969400
"52bb0a09-132e-4c77-bf73-8e16247bfd33",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,50176138136900,50176158669800,50176160197200
"968423f2-11c7-485a-bf7e-a07f2b86c5b7",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,50176204477700,50176278879000,50176281128700
"1105b081-684f-4d9c-b85b-fdfe23b39787",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,50176296221200,50176361356700,50176363475300
"a9aa68bb-f63d-4c49-94df-999628ba852b",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,50176375860100,50176390416800,50176392457200
"74b9d820-8ec9-4f17-9a19-d64161074edd",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,50176405207800,50176501592700,50176503253600
"89b4e579-154a-45f6-b405-36afd0329ce5",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,50176518273000,50176525252700,50176527082600
"5819bd87-adcb-4bd1-b717-c4a71c2e07b8",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,50176536846500,50176554144900,50176555233300
"9c3cc27b-22ec-40d3-939a-80e4ed18e7d4",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,50176563867900,50176660179600,50176661689200
"35a2595a-1e02-43a6-9e27-720c82309b62",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,50176668473600,50176698065700,50176699235500
"b953fafe-7cd2-4c39-8eae-965bbcb88d8d",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,50176705527800,50176742116400,50176743384000
"2cd41037-1f17-4839-baed-6ef6f7389eb5",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,50176749135100,50176794178600,50176795333700
"c483bce4-6e40-4015-8ef8-0256bff788c7",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,50176801633100,50176824345800,50176825497600
"fe4eea24-82f3-4e55-bb6f-62b9b67e3e59",GET,/images/banner.png,,,200,image/png,,,50176831265300,50176834073800,50176834878000
"25433bdf-05f6-4705-9b95-1dfbcbb4f97f",GET,/images/logo.png,,,200,image/png,,,50176848452800,50176852552500,50176853453400
"0282315e-d6ba-412b-adaa-64243576e580",GET,/images/favicon.ico,,,200,image/x-icon,,,50176861663300,50176920572000,50176922109200
"9e68f575-84b0-4ad5-9ec5-f1f32ee941b7",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,50176931254500,50176942823700,50176944085900
"ea7940a9-4074-4fd4-b10b-7b0936f226d6",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,50176951721900,50176962669800,50176963707100
"47cd8581-95a4-419a-b1dd-f69a65d3c6cf",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"remember=false&password=&username=",,50176971114500,50176976033200,50179835506900
